product_id,product_name,category,brand,seller,seller_city,price,discount_percent,final_price,rating,review_count,stock_available,units_sold,listing_date,delivery_days,weight_g,warranty_months,color,size,return_policy_days,is_returnable,payment_modes,shipping_weight_g,product_score,seller_rating
FKP0000001,Adidas Ultra 664,Toys,Adidas,MegaStore,Hyderabad,35547.34,15,30215.24,1.9,26975,267,66,2022-04-12,11,3038.23,36,Green,XL,30,True,"COD,CARD",3483.592454089408,6.78,3.28
FKP0000002,LG Series 124,Fashion,LG,ValueKart,Mumbai,30693.79,10,27624.41,3.2,45848,16,2703,2023-05-14,3,1921.82,0,Grey,One Size,7,True,"UPI,CARD",2091.4738354623532,50.78,3.42
FKP0000003,Redmi Model 35,Beauty,Redmi,SmartDeals,Ahmedabad,51214.5,40,30728.7,4.4,5138,806,2394,2022-09-13,5,1143.49,12,Black,M,0,False,"COD,UPI,CARD",1242.7704942993234,4.24,4.23
FKP0000004,Sony Edition 769,Toys,Sony,UrbanRetails,Delhi,33168.49,30,23217.94,2.8,2000,509,1732,2019-08-05,1,3644.81,24,Black,L,0,False,"CARD,Wallet",3891.222715655986,1.38,3.45
FKP0000005,Boat Prime 291,Home & Kitchen,Boat,RetailHub,Pune,14181.34,0,14181.34,3.7,25801,809,4644,2018-08-26,7,310.33,0,Blue,N/A,30,True,"CARD,Wallet",386.06101389608557,79.27,4.9
FKP0000006,Puma Series 260,Appliances,Puma,SmartDeals,Hyderabad,18608.77,10,16747.89,2.8,13316,489,2671,2018-04-15,11,459.13,24,Red,N/A,7,True,"COD,UPI,CARD",533.2391191565815,46.84,3.44
FKP0000007,Nike Ultra 238,Beauty,Nike,ValueKart,Kolkata,6814.87,40,4088.92,2.6,43084,160,492,2021-03-17,1,3082.17,24,Grey,N/A,15,True,"COD,CARD",3318.0085112006045,14.48,3.08
FKP0000008,Philips Series 152,Beauty,Philips,SuperMart,Chennai,9330.32,5,8863.8,3.6,9135,788,4607,2020-04-08,4,1651.04,24,Silver,L,30,True,"UPI,CARD",1833.2890441344991,36.64,4.95
FKP0000009,Whirlpool Model 764,Toys,Whirlpool,MegaStore,Chennai,26866.61,30,18806.63,2.0,18219,960,718,2018-01-14,2,857.6,24,Silver,N/A,7,True,"COD,CARD",999.6957363170794,8.17,3.96
FKP0000010,Philips Prime 114,Electronics,Philips,BestBuy,Bengaluru,53392.85,15,45383.92,4.5,5968,942,4594,2022-05-15,10,288.08,36,Green,S,10,True,"UPI,CARD",355.64135909436106,64.93,4.66
FKP0000011,Samsung Ultra 702,Home & Kitchen,Samsung,SuperMart,Delhi,35385.77,50,17692.88,2.6,33626,599,4942,2018-02-28,10,2423.39,36,Silver,M,0,False,"COD,CARD",2647.5795696249256,4.69,4.28
FKP0000012,Philips Series 768,Toys,Philips,SmartDeals,Mumbai,1364.39,10,1227.95,1.0,11991,172,3221,2022-03-09,2,1635.52,12,Black,One Size,15,True,"COD,CARD",1786.3293587052249,4.29,4.84
FKP0000013,Adidas Ultra 923,Home & Kitchen,Adidas,ValueKart,Delhi,7387.12,5,7017.76,2.3,46861,254,1622,2020-06-02,11,3248.87,6,Blue,N/A,7,True,"UPI,CARD",3968.9518631580554,15.69,4.11
FKP0000014,LG Prime 568,Home & Kitchen,LG,MegaStore,Mumbai,59583.15,5,56603.99,3.0,2904,830,416,2023-03-16,9,1103.31,0,Gold,L,10,True,"COD,CARD",1201.4153563582413,58.45,3.91
FKP0000015,Prestige Prime 99,Appliances,Prestige,MegaStore,Bengaluru,52728.69,20,42182.95,4.3,47169,228,4898,2020-02-17,3,1019.96,36,Blue,M,7,True,"CARD,Wallet",1098.972603554525,98.98,4.39
FKP0000016,Dell Ultra 614,Beauty,Dell,RetailHub,Delhi,11463.36,0,11463.36,3.9,33013,905,1841,2022-08-23,1,795.44,6,Silver,S,15,True,"UPI,CARD",852.6366549960043,51.56,3.38
FKP0000017,Samsung Series 442,Fashion,Samsung,RetailHub,Chennai,3472.26,30,2430.58,4.9,42095,186,2598,2018-08-27,6,4206.14,36,Red,XL,15,True,"COD,CARD",4879.169640903375,36.71,3.37
FKP0000018,Nike Edition 42,Appliances,Nike,UrbanRetails,Kolkata,6955.08,5,6607.33,1.0,13883,519,3728,2020-04-15,7,73.72,24,Blue,M,15,True,"COD,UPI,CARD",83.0605251924362,11.82,4.93
FKP0000019,Philips Series 40,Appliances,Philips,ValueKart,Hyderabad,55702.15,0,55702.15,3.7,36250,239,4351,2022-12-05,4,1594.66,36,Black,L,0,False,"UPI,CARD",1697.2203662113707,85.8,4.41
FKP0000020,Reebok Prime 105,Home & Kitchen,Reebok,BestBuy,Chennai,9222.73,10,8300.46,3.2,28341,549,1633,2023-06-18,7,2081.71,36,Green,M,10,True,"CARD,Wallet",2269.7613191694713,84.73,3.15
FKP0000021,Whirlpool Prime 233,Sports,Whirlpool,RetailHub,Mumbai,57120.4,10,51408.36,3.0,33067,895,4399,2022-07-05,8,3163.64,0,Gold,One Size,7,True,"UPI,CARD",3524.801794095769,71.71,3.59
FKP0000022,Dell Prime 248,Beauty,Dell,BestBuy,Hyderabad,45477.31,40,27286.39,1.4,35914,983,1026,2021-10-12,6,4739.5,36,Silver,M,10,True,"COD,UPI,CARD",5059.939874031428,91.11,4.63
FKP0000023,Dell Series 527,Electronics,Dell,RetailHub,Chennai,2168.89,0,2168.89,2.0,13842,696,3447,2022-10-31,4,1333.91,12,Grey,M,10,True,"UPI,CARD",1666.1905768813795,74.94,3.27
FKP0000024,Whirlpool Ultra 626,Appliances,Whirlpool,SuperMart,Pune,4712.48,30,3298.74,1.9,37027,761,646,2018-05-17,2,4254.92,0,White,One Size,7,True,"COD,CARD",5010.958567715026,34.26,3.86
FKP0000025,Puma Edition 37,Fashion,Puma,UrbanRetails,Hyderabad,52735.6,15,44825.26,4.2,7978,235,2050,2021-09-13,4,4674.7,0,Silver,S,0,False,"UPI,CARD",5018.411787399184,39.03,3.67
FKP0000026,Philips Edition 584,Sports,Philips,SuperMart,Ahmedabad,51293.68,10,46164.31,4.1,49671,374,551,2019-12-04,7,1078.47,24,Gold,S,10,True,"UPI,CARD",1190.1073193326183,47.29,3.47
FKP0000027,Sony Series 213,Sports,Sony,SuperMart,Mumbai,40502.21,30,28351.55,3.5,1695,631,2092,2019-02-01,11,963.46,6,Black,S,7,True,"COD,CARD",1070.0094380891444,96.34,4.75
FKP0000028,Reebok Prime 743,Electronics,Reebok,ValueKart,Hyderabad,43097.8,10,38788.02,2.1,18130,543,4323,2018-06-12,3,2339.76,36,Gold,XL,15,True,"COD,UPI,CARD",2742.169725396465,59.71,4.21
FKP0000029,Puma Model 675,Appliances,Puma,UrbanRetails,Chennai,33171.06,10,29853.95,1.6,16315,869,4996,2020-06-21,9,2375.61,0,White,N/A,0,False,"UPI,CARD",2889.1546591803344,74.18,3.11
FKP0000030,Apple Ultra 728,Fashion,Apple,BestBuy,Pune,54596.81,15,46407.29,2.7,34337,3,4838,2020-02-15,10,3708.4,36,Silver,N/A,7,True,"COD,CARD",3904.762376105782,32.0,4.89
FKP0000031,Prestige Model 568,Beauty,Prestige,SmartDeals,Mumbai,36880.59,40,22128.35,4.5,16230,486,2036,2020-04-11,3,3223.04,12,Red,XL,15,True,"COD,UPI,CARD",3737.3558929473484,8.29,4.25
FKP0000032,Philips Ultra 439,Mobiles,Philips,UrbanRetails,Mumbai,34527.08,5,32800.73,1.6,35513,24,2849,2018-02-12,1,3511.34,6,Grey,S,7,True,"UPI,CARD",4317.012902522246,8.83,4.5
